Time,7Li,24Mg,43Ca,66Zn,85Rb,86Sr,88Sr,111Cd,137Ba,138Ba,208Pb
327.51377,200.0016,5601.254681,313072.0754,2800.313635,200.0016,38659.69056,375352.2099,0,400.0064001,7402.191049,0
327.68398,0,5201.081825,465717.0331,3800.577688,0,65973.64263,554428.8892,0,600.0144003,3200.409652,0
327.85418,0,10004.0016,253341.5222,4400.774536,200.0016,52710.90374,660185.246,0,800.0256008,1800.129609,0
328.02441,400.0064001,4600.846556,250892.8716,3000.360043,0,44679.7086,358673.0719,0,200.0016,4400.774536,200.0016
328.19469,600.0144003,10204.1633,342632.3899,5201.081825,200.0016,64164.26051,672694.8712,0,0,3000.360043,0
328.36486,400.0064001,6201.537981,311636.8732,4000.640102,0,79451.703,426762.7866,0,1400.078404,3000.360043,0
328.53508,0,7402.191049,383390.7336,4800.921777,400.0064001,84685.8996,923762.6707,0,200.0016,800.0256008,0
328.70527,800.0256008,5201.081825,354352.4296,5001.0002,400.0064001,48293.10911,1004170.005,0,200.0016,2600.270428,0
328.87549,200.0016,9203.386846,349416.355,13407.18625,200.0016,77439.13204,431936.001,0,0,3000.360043,0
329.04571,200.0016,9203.386846,374734.0728,6201.537981,400.0064001,78042.86941,533131.7918,0,0,2600.270428,0
329.216,600.0144003,6801.850103,313277.1176,8602.959418,0,123406.1711,858124.0303,0,1000.040002,2200.193617,0
329.38616,0,7202.074197,391228.0417,4200.705719,0,65370.48623,654076.3301,0,200.0016,3400.462463,0
329.55638,200.0016,7402.191049,347977.0286,8002.560819,400.0064001,67783.28601,713719.0214,0,600.0144003,1800.129609,0
329.72658,200.0016,15009.0054,222971.0642,7001.960549,0,65169.44055,688450.4727,0,200.0016,1800.129609,0
329.8968,600.0144003,9403.535729,465509.5139,2800.313635,0,79652.97786,502085.0505,0,0,400.0064001,0
330.06701,0,9803.843106,1007358.3,5001.0002,0,148071.847,718894.5402,0,200.0016,2000.160013,200.0016
330.23731,200.0016,4200.705719,371849.8311,9403.535729,0,190845.8481,660606.6578,0,200.0016,1800.129609,0
330.40744,200.0016,2800.313635,609520.8132,5201.081825,0,99595.19373,638234.585,0,200.0016,1600.102407,0
330.57766,400.0064001,5601.254681,255994.7629,6201.537981,400.0064001,63963.23417,588745.8649,0,0,600.0144003,0
330.74786,600.0144003,9203.386846,460737.5059,7802.43436,0,73817.31818,823663.7441,0,0,1600.102407,0
330.91807,200.0016,5801.345912,290537.6971,14608.53138,400.0064001,64566.32285,657867.7286,0,400.0064001,400.0064001,0
331.08829,0,4800.921777,318404.2519,3000.360043,0,73213.78425,912275.9086,0,0,1400.078404,0
331.25859,400.0064001,6401.63882,327638.3294,5601.254681,200.0016,132902.79,716354.7787,0,0,2400.230422,0
331.42873,0,7202.074197,446150.2863,7602.311103,200.0016,96974.71028,1271647.465,0,200.0016,800.0256008,0
331.59895,400.0064001,5601.254681,762302.5097,5801.345912,200.0016,73012.61273,674731.9558,0,0,400.0064001,0
331.76916,400.0064001,5401.166652,653388.8251,5601.254681,0,96168.51776,718894.5402,0,0,800.0256008,0
331.93935,200.0016,13006.76352,271517.1806,5601.254681,0,76030.52455,574087.1074,0,400.0064001,1000.040002,0
332.10958,200.0016,6001.440346,310201.8337,18413.55237,0,95160.84994,606148.7533,0,0,200.0016,0
332.27987,400.0064001,8402.823349,338111.7634,11805.57223,0,113311.2604,611979.1288,0,0,800.0256008,0
332.45,400.0064001,4400.774536,348182.6367,9803.843106,0,79250.43136,1202726.892,0,0,800.0256008,0
332.62015,600.0144003,7202.074197,346312.7421,3800.577688,200.0016,208118.2241,882738.5204,0,0,400.0064001,200.0016
332.79031,200.0016,6401.63882,347565.8226,5801.345912,0,77439.13204,1255237.805,0,0,800.0256008,0
332.96051,400.0064001,3000.360043,257423.662,11405.20077,0,90728.07271,701126.7374,0,0,200.0016,0
333.13073,600.0144003,7202.074197,306717.4151,10204.1633,0,163461.8482,604050.7657,0,200.0016,400.0064001,0
333.30094,800.0256008,5001.0002,500836.4274,8002.560819,200.0016,63762.21106,618533.882,0,200.0016,0,0
333.47116,800.0256008,6601.74286,691206.0767,8803.098691,0,106653.0622,997606.1411,0,0,400.0064001,0
333.64146,0,8803.098691,385040.2911,7802.43436,200.0016,92944.26556,746016.5763,0,0,1600.102407,0
333.81159,600.0144003,5201.081825,522288.1038,9003.241167,200.0016,87706.62235,769511.8657,0,200.0016,1600.102407,0
333.98181,0,6801.850103,323738.6752,6001.440346,400.0064001,120780.7137,926724.8532,0,200.0016,200.0016,0
334.15202,0,10604.49631,357644.214,8402.823349,200.0016,197955.1355,652391.6238,0,200.0016,400.0064001,0
334.32224,200.0016,7802.43436,883346.8617,9003.241167,0,78646.63585,849946.2321,0,0,200.0016,0
334.49246,0,17011.56787,389165.123,6401.63882,0,74823.27265,748986.5199,0,0,200.0016,200.0016
